Teams,Played,Win %,Score,Goals,Assists,Saves,Shots,SH%
Tokyo Verdy Esports,344,72.38%,1129.95,2.69,2.04,3.53,8.93,30.08%
Pirates Exdee,381,69.29%,1176.25,3.07,2.3,3.69,9.56,32.08%
Ellevens Esports,421,68.17%,1140.52,2.31,1.76,4.4,9.14,25.29%
Sandrock Gaming,576,66.84%,1168.26,2.51,1.91,4.37,9.24,27.17%
Gale Force,311,64.63%,778.05,2.18,1.75,4.2,8.53,25.57%
Team Falcons,533,64.54%,1175.61,2.48,1.93,4.59,9.21,26.92%
Renegades,1520,64.08%,1134.35,2.56,2.07,3.95,9.42,27.16%
Ground Zero Gaming,1490,63.76%,1141.22,2.52,1.94,4.2,8.59,29.35%
PWR,266,63.53%,1133.9,2.54,1.94,3.87,8.82,28.82%
Team BDS,1304,63.04%,1165.09,2.19,1.8,4.8,9.17,23.88%
NRG Esports,2399,62.82%,1094.44,2.24,1.73,4.73,8.99,24.88%
Chiefs Esports,394,61.93%,894.78,2.29,1.85,3.88,8.25,27.82%
AW3 Esports,338,61.83%,1146.16,2.63,2.07,3.83,9.5,27.68%
Cringe Society,944,61.65%,1149.86,2.57,2.01,4.12,9.33,27.56%
Cloud9,711,61.46%,997.02,2.21,1.78,4.72,8.02,27.56%
Denied,273,61.17%,1148.22,2.12,1.7,4.92,8.49,25.01%
Novus Aevi,424,61.08%,1159.12,2.49,1.89,4.45,9.25,26.92%
FURIA Esports,691,60.93%,1189.62,2.45,1.96,4.51,9.53,25.73%
Spacestation Gaming,1806,60.52%,1111.27,2.09,1.6,4.63,8.47,24.63%
Gaming Gamers,275,60.36%,1081.25,2.16,1.69,4.09,8.41,25.64%
We Dem Girlz,332,59.94%,951.92,2.39,1.82,4.21,8.67,27.58%
True Neutral,1264,59.81%,1126.84,2.16,1.66,4.58,8.63,25.06%
G2 Esports,2170,59.49%,1059.31,2.19,1.81,4.29,9.15,23.98%
KRÜ Esports,282,59.22%,1103.34,2.02,1.52,4.75,8.6,23.54%
FlipSid3 Tactics,735,59.05%,859.31,2.44,1.9,4.39,8.73,27.94%
Rebel,385,58.96%,1147.39,2.2,1.73,4.71,8.65,25.41%
Nimmt55,327,58.72%,1128.42,2.51,1.94,4.1,8.67,28.93%
Team Queso,736,58.56%,1153.42,2.14,1.65,4.92,9.11,23.48%
The Three Sins,320,58.44%,1120.77,2.16,1.77,4.41,8.69,24.82%
DeToNator,440,58.41%,1077.45,2.28,1.7,3.92,8.3,27.48%
Team WLF,324,58.33%,1107.55,2.29,1.78,4.4,8.4,27.30%
FaZe Clan,729,57.61%,1190.65,2.28,1.84,5.0,9.15,24.92%
Servette Geneva Esports,372,57.53%,1116.33,2.52,1.98,4.63,9.05,27.85%
Karmine Corp,514,57.39%,1111.37,2.11,1.73,4.45,8.35,25.24%
Kings of Urban,264,57.20%,728.66,2.55,1.88,3.57,8.28,30.74%
RCD Espanyol,258,56.98%,1148.75,2.17,1.78,4.74,8.27,26.29%
Team Vitality,1699,56.97%,1144.16,2.04,1.65,5.25,8.62,23.64%
Team Envy,1430,56.92%,1085.09,2.04,1.68,4.76,8.56,23.84%
Nordavind,501,56.89%,1085.07,2.27,1.81,4.37,8.3,27.39%
ATK,334,56.59%,1128.23,2.61,2.1,4.14,8.37,31.18%
Team Secret,499,56.51%,991.73,2.08,1.63,4.61,7.85,26.44%
Noble esports,695,56.40%,1076.05,2.16,1.68,4.3,8.56,25.24%
Randoms,297,56.23%,1171.14,2.04,1.54,5.49,8.24,24.71%
Moist Esports,303,56.11%,1118.43,1.98,1.52,4.63,8.83,22.47%
SUPRMODE,273,56.04%,1179.29,2.39,1.85,4.89,9.02,26.52%
Oxygen Esports,1122,55.88%,1121.04,2.06,1.64,4.68,8.55,24.14%
Vibrance,409,55.75%,1116.73,2.11,1.67,4.73,7.84,26.87%
EndGame,333,55.56%,1128.19,2.27,1.73,4.44,8.65,26.22%
The Ultimates,254,55.51%,1140.17,2.08,1.64,4.95,8.95,23.27%
Dignitas,1637,55.16%,1097.9,2.05,1.64,4.78,8.59,23.85%
Sparx Esports,315,54.92%,1138.43,2.37,1.84,4.62,8.22,28.89%
The Peeps,778,54.88%,1134.85,2.06,1.62,5.03,8.13,25.38%
Team WMB,272,54.78%,1142.36,2.18,1.67,4.91,8.15,26.71%
TrainHard eSport,314,54.78%,1157.33,2.17,1.74,4.89,9.19,23.60%
Vodafone Giants,876,54.57%,1140.03,2.09,1.73,4.78,8.55,24.44%
Dire Wolves,1065,54.55%,1091.14,2.17,1.59,4.47,8.17,26.51%
Luminosity Gaming,310,54.52%,1145.28,2.04,1.6,5.22,8.55,23.90%
Stealth7 eSports,468,54.49%,1122.13,2.26,1.79,4.52,8.36,26.99%
Solicit,315,54.29%,1125.98,2.26,1.74,4.72,7.84,28.79%
White Demons,305,54.10%,1154.34,1.95,1.57,5.2,8.31,23.47%
Veloce Esports,383,54.05%,1101.2,2.04,1.57,4.57,8.75,23.31%
Parabellum Esports,291,53.95%,1130.74,2.35,1.84,4.47,8.55,27.49%
Atlantide Wave,349,53.87%,1116.31,2.02,1.66,4.89,8.3,24.29%
Dark Rift Esports,271,53.87%,1086.62,2.52,1.85,3.91,7.92,31.78%
Top Blokes,711,53.45%,1138.06,2.06,1.72,4.94,8.42,24.53%
Pioneers,1095,53.42%,1127.29,2.17,1.73,4.52,9.0,24.10%
Fadeaway,380,53.42%,1124.67,2.08,1.67,4.66,8.82,23.63%
Team Bliss,264,53.41%,1107.47,2.14,1.66,4.6,8.2,26.05%
1NE eSports,382,53.40%,1021.34,2.35,1.83,4.21,7.74,30.32%
Jamal Jabary,289,53.29%,1141.1,2.11,1.64,5.02,8.49,24.82%
Method,503,53.28%,910.78,2.09,1.71,4.49,8.16,25.57%
HG Esports,278,53.24%,1112.68,2.23,1.74,4.48,8.65,25.73%
Mustu Fluck,615,53.17%,1109.54,2.2,1.77,4.48,8.3,26.57%
Akrew,287,52.96%,1116.63,1.89,1.5,5.08,8.0,23.55%
Solary,892,52.91%,1143.67,2.07,1.64,4.92,8.64,23.94%
PDHM Gaming,278,52.88%,1163.81,2.04,1.7,5.13,7.96,25.67%
eRa Eternity,388,52.84%,1048.96,1.89,1.43,4.7,7.77,24.36%
Torrent,294,52.72%,1131.61,2.01,1.52,5.08,8.45,23.80%
Euphoria,279,52.69%,1117.29,2.2,1.77,4.6,8.17,26.97%
Team GanDerS,283,52.65%,1051.34,2.25,1.74,3.72,7.83,28.70%
Mindfreak,891,52.41%,1102.94,2.28,1.78,4.22,8.39,27.14%
Exeed,307,52.12%,1105.9,2.03,1.58,4.79,8.17,24.89%
PSG eSports,547,52.10%,911.84,2.01,1.57,4.53,8.23,24.36%
Galaxy Racer,399,51.88%,1126.35,1.9,1.5,5.09,8.37,22.68%
Version1,1020,51.86%,1127.09,1.87,1.49,5.23,7.78,24.08%
Team Singularity,929,51.78%,1137.95,1.9,1.49,5.21,8.29,22.89%
FC Barcelona,735,51.56%,1164.47,2.09,1.72,5.11,8.56,24.38%
Bandits ESC,301,51.50%,1138.59,2.33,1.81,4.79,7.98,29.17%
Esport BERG,514,51.36%,1119.81,2.13,1.7,4.77,8.63,24.74%
Guild Esports,1094,51.28%,1133.5,1.96,1.57,4.94,8.68,22.62%
Lotus,285,51.23%,1095.2,2.3,1.88,4.26,8.54,26.92%
SMPR Esports,332,51.20%,1145.33,1.97,1.57,5.23,8.4,23.44%
Ruby,276,51.09%,1154.37,2.1,1.72,5.11,7.84,26.76%
Mirage,262,50.76%,1091.1,2.01,1.57,4.81,8.26,24.35%
Knights,1124,50.71%,1118.72,1.92,1.45,5.31,7.97,24.06%
Complexity Gaming,632,50.47%,1054.87,1.8,1.46,5.0,8.08,22.24%
Endpoint,1262,50.32%,1078.6,1.96,1.59,4.64,8.08,24.30%
Team Liquid,902,50.11%,1120.57,2.01,1.66,4.71,8.83,22.71%
Shopify Rebellion,513,50.10%,1146.32,1.91,1.52,5.26,8.28,23.13%
Rogue,1867,50.08%,1097.43,2.0,1.6,4.99,8.34,24.01%
Forbidden Gaming,368,50.00%,1062.58,2.02,1.54,4.38,7.84,25.75%
Canberra Havoc,677,49.93%,1129.03,2.14,1.65,5.02,7.85,27.24%
MINKZ,337,49.85%,1112.82,2.09,1.66,4.64,8.23,25.42%
Rix.GG,569,49.74%,1120.22,1.93,1.57,4.92,8.08,23.88%
Evil Geniuses,648,49.54%,1036.88,1.81,1.47,4.83,8.12,22.34%
Sol,292,49.32%,1153.9,2.01,1.53,5.35,7.7,26.16%
Ghost Gaming,1233,49.15%,1043.46,1.86,1.44,4.9,8.08,23.06%
Game Fist,373,48.79%,1143.79,2.46,1.92,4.52,8.64,28.42%
Charlotte Phoenix,1034,48.65%,1088.98,1.87,1.47,4.82,7.86,23.79%
Triple Trouble,632,48.58%,1092.11,2.09,1.66,4.91,8.09,25.80%
mousesports,299,48.49%,1052.47,1.75,1.41,4.76,7.69,22.74%
00 Nation,279,48.39%,1133.1,1.82,1.48,5.41,7.82,23.28%
1620 Kings,373,48.26%,1083.71,2.2,1.62,4.37,7.87,27.90%
Monkeys,334,48.20%,1121.81,1.95,1.59,4.94,8.38,23.25%
Lausanne eSports,349,48.14%,1133.28,2.34,1.89,4.68,8.25,28.41%
Genesis,256,48.05%,705.97,1.9,1.4,4.15,6.88,27.61%
Legacy Esports,264,47.73%,733.39,2.13,1.68,3.76,7.42,28.69%
XSET,949,47.72%,1121.65,1.9,1.47,5.2,8.22,23.09%
R!OT Gaming,830,47.71%,1075.75,2.03,1.55,4.48,7.75,26.26%
Williams Resolve,411,47.69%,1119.53,1.75,1.44,5.17,8.02,21.86%
Overt,260,47.69%,1167.35,2.23,1.75,5.14,7.89,28.27%
Carnage Gaming,351,47.58%,1087.44,1.91,1.49,4.8,7.57,25.23%
Team AXLE,364,47.53%,1116.75,1.88,1.45,5.34,7.72,24.35%
Alpine Esports,706,47.31%,1133.28,2.04,1.57,5.18,8.41,24.26%
Zookeepers,313,47.28%,1102.64,1.96,1.54,4.84,7.91,24.81%
Stromboli,333,47.15%,1121.48,1.91,1.52,5.02,8.24,23.18%
TeamOrangeGaming,448,47.10%,1103.03,1.98,1.55,4.77,8.08,24.49%
RBG Esports,712,46.91%,1079.82,1.93,1.47,4.87,7.68,25.17%
Omelette,266,46.62%,1122.17,1.91,1.49,5.18,8.14,23.52%
Soniqs,1116,46.59%,1091.48,1.84,1.41,4.93,8.09,22.74%
Nefarious,624,46.15%,1070.6,1.86,1.45,4.6,7.89,23.63%
72 Pin Connector,410,45.85%,1070.77,1.87,1.44,4.63,8.15,22.98%
Gentlemen,300,45.67%,1077.59,1.89,1.43,4.73,7.81,24.23%
Xayfhers,274,45.62%,1051.96,2.07,1.6,4.16,7.23,28.56%
Team Process,251,45.42%,1074.57,2.04,1.57,4.54,7.37,27.61%
FURY,278,45.32%,1127.17,2.13,1.74,4.56,7.78,27.42%
Plot Twist,387,44.96%,1110.35,2.0,1.61,4.83,8.07,24.78%
eUnited,1010,44.95%,1111.41,1.88,1.46,5.1,8.16,22.98%
Free Win,391,44.76%,1060.48,1.92,1.46,4.64,7.05,27.24%
Splyce,256,44.53%,895.48,1.78,1.39,4.49,6.92,25.73%
Wolves Esports,257,44.36%,1149.01,2.0,1.54,5.35,7.91,25.27%
Mako,284,43.31%,1079.91,1.92,1.47,4.7,7.28,26.35%
AllMid,297,43.10%,1077.0,2.08,1.6,4.36,8.44,24.62%
Atypical,362,42.82%,1071.43,1.97,1.58,4.62,7.51,26.19%
Hazard Esports,371,42.32%,1073.49,1.85,1.33,5.13,7.1,26.00%
SK Gaming,288,41.67%,1074.62,1.71,1.35,5.38,7.33,23.31%
mYinsanity,266,39.85%,1091.62,2.07,1.59,4.6,7.67,26.95%
exceL Esports,257,38.52%,827.74,2.04,1.64,4.26,8.13,25.08%
