Team Name:,Image:
N/A,N/A
Tokyo Verdy Esports,https://griffon.octane.gg/teams/Tokyo_Verdy_Esports.png
Pirates Exdee,https://griffon.octane.gg/teams/Pirates_Exdee_fixed.png
Ellevens Esports,https://griffon.octane.gg/teams/ellevens-esports.png
Sandrock Gaming,https://griffon.octane.gg/teams/Sandrock_Gaming_2021.png
Gale Force,https://griffon.octane.gg/teams/gale-force.png
Team Falcons,https://griffon.octane.gg/teams/Team_Falcons_2022.png
Renegades,https://griffon.octane.gg/teams/renegades.png
Ground Zero Gaming,https://griffon.octane.gg/teams/ground-zero-gaming.png
PWR,https://griffon.octane.gg/teams/PWR.png
Team BDS,https://griffon.octane.gg/teams/Team_BDS_2021.png
NRG Esports,https://griffon.octane.gg/teams/nrg-esports.png
Chiefs Esports,https://griffon.octane.gg/teams/chiefs-esports.png
AW3 Esports,https://griffon.octane.gg/teams/AW3Esports.png
Cringe Society,N/A
Cloud9,https://griffon.octane.gg/teams/cloud9.png
Denied,https://griffon.octane.gg/teams/denied.png
FURIA Esports,https://griffon.octane.gg/teams/Furia_Esports_Fixed.png
Novus Aevi,https://griffon.octane.gg/teams/Novus_Aevi_lightmode.png
Spacestation Gaming,https://griffon.octane.gg/teams/Spacestation_Gaming_2021.png
Gaming Gamers,https://griffon.octane.gg/teams/gaming-gamers.png
We Dem Girlz,https://griffon.octane.gg/teams/we-dem-girlz.png
True Neutral,https://griffon.octane.gg/teams/true-neutral.png
G2 Esports,https://griffon.octane.gg/teams/g2-esports.png
KRÜ Esports,https://griffon.octane.gg/teams/KRU_Esports.png
FlipSid3 Tactics,https://griffon.octane.gg/teams/flipsid3-tactics.png
Rebel,https://griffon.octane.gg/teams/rebel.png
Nimmt55,https://griffon.octane.gg/teams/Nimmt55.png
Team Queso,https://griffon.octane.gg/teams/Team_Queso_2021.png
The Three Sins,https://griffon.octane.gg/teams/the-three-sins.png
DeToNator,https://griffon.octane.gg/teams/DeToNator_2022.png
Team WLF,https://griffon.octane.gg/teams/team-wlf.png
FaZe Clan,https://griffon.octane.gg/teams/faze-clan.png
Servette Geneva Esports,https://griffon.octane.gg/teams/servette-geneva-esports.png
Karmine Corp,https://griffon.octane.gg/teams/Karmine_Corp.png
Kings of Urban,https://griffon.octane.gg/teams/kings-of-urban.png
RCD Espanyol,https://griffon.octane.gg/teams/rcd-espanyol.png
Team Vitality,https://griffon.octane.gg/teams/team-vitality.png
Team Envy,https://griffon.octane.gg/teams/team-envy.png
Nordavind,https://griffon.octane.gg/teams/nordavind.png
ATK,https://griffon.octane.gg/teams/ATK.png
Team Secret,https://griffon.octane.gg/teams/team-secret.png
Noble esports,https://griffon.octane.gg/teams/Noble_Esports_2021_Fixed.png
Randoms,https://griffon.octane.gg/teams/Randoms.png
SUPRMODE,https://griffon.octane.gg/teams/SUPRMODE_Gaming.png
Moist Esports,https://griffon.octane.gg/teams/Moist_Esports.png
Vibrance,https://griffon.octane.gg/teams/Vibrance_2021_fixed5.png
Oxygen Esports,https://griffon.octane.gg/teams/Oxygen_Esports_2021.png
EndGame,https://griffon.octane.gg/teams/EndGame_fixed.png
The Ultimates,https://griffon.octane.gg/teams/The_Ultimates.png
Dignitas,https://griffon.octane.gg/teams/dignitas.png
Sparx Esports,https://griffon.octane.gg/teams/Sparx_Esports.png
The Peeps,https://griffon.octane.gg/teams/the-peeps.png
TrainHard eSport,https://griffon.octane.gg/teams/trainhard-esport.png
Team WMB,https://griffon.octane.gg/teams/team-wmb.png
Vodafone Giants,https://griffon.octane.gg/teams/Vodafone_Giants_2021_New.png
Dire Wolves,https://griffon.octane.gg/teams/dire-wolves.png
Luminosity Gaming,https://griffon.octane.gg/teams/Luminosity_Gaming.png
Stealth7 eSports,https://griffon.octane.gg/teams/stealth7-esports.png
Solicit,https://griffon.octane.gg/teams/598px-Solicit_2021.png
White Demons,https://griffon.octane.gg/teams/white-demons.png
Veloce Esports,https://griffon.octane.gg/teams/veloce-esports.png
Parabellum Esports,https://griffon.octane.gg/teams/Parabellum_Esports.png
Dark Rift Esports,https://griffon.octane.gg/teams/Dark_Rift_Esports_2022.png
Atlantide Wave,https://griffon.octane.gg/teams/atlantide-wave.png
Top Blokes,https://griffon.octane.gg/teams/top-blokes.png
Fadeaway,https://griffon.octane.gg/teams/fadeaway.png
Pioneers,https://griffon.octane.gg/teams/Kansas_City_Pioneers_2021.png
Team Bliss,https://griffon.octane.gg/teams/Team_Bliss.png
1NE eSports,https://griffon.octane.gg/teams/1ne-esports.png
Jamal Jabary,https://griffon.octane.gg/teams/jamal-jabary.png
Method,https://griffon.octane.gg/teams/method.png
HG Esports,https://griffon.octane.gg/teams/hg-esports.png
Mustu Fluck,N/A
Akrew,https://griffon.octane.gg/teams/Akrew.png
Solary,https://griffon.octane.gg/teams/solary.png
PDHM Gaming,https://griffon.octane.gg/teams/pdhm-gaming.png
eRa Eternity,https://griffon.octane.gg/teams/era-eternity.png
Torrent,https://griffon.octane.gg/teams/Torrent.png
Euphoria,https://griffon.octane.gg/teams/euphoria.png
Team GanDerS,https://griffon.octane.gg/teams/Team_GanDerS_2022.png
Mindfreak,https://griffon.octane.gg/teams/mindfreak.png
Exeed,https://griffon.octane.gg/teams/exeed.png
PSG eSports,https://griffon.octane.gg/teams/psg-esports.png
Galaxy Racer,https://griffon.octane.gg/teams/galaxy-racer.png
Version1,https://griffon.octane.gg/teams/version1.png
Team Singularity,https://griffon.octane.gg/teams/team-singularity.png
FC Barcelona,https://griffon.octane.gg/teams/fc-barcelona.png
Bandits ESC,https://griffon.octane.gg/teams/Bandits_ESC_lightmode.png
Esport BERG,https://griffon.octane.gg/teams/Esport_BERG.png
Guild Esports,https://griffon.octane.gg/teams/guild-esports.png
Lotus,https://griffon.octane.gg/teams/lotus.png
SMPR Esports,https://griffon.octane.gg/teams/Semper_Esports.png
Ruby,https://griffon.octane.gg/teams/ruby.png
Mirage,https://griffon.octane.gg/teams/Mirage_Fixed.png
Knights,https://griffon.octane.gg/teams/pittsburgh-knights.png
Complexity Gaming,https://griffon.octane.gg/teams/Complexity_Gaming_2019.png
Endpoint,https://griffon.octane.gg/teams/endpoint.png
Team Liquid,https://griffon.octane.gg/teams/team-liquid.png
Shopify Rebellion,https://griffon.octane.gg/teams/Shopify_Rebellion_fixed.png
Rogue,https://griffon.octane.gg/teams/rogue.png
Forbidden Gaming,https://griffon.octane.gg/teams/forbidden-gaming.png
Canberra Havoc,https://griffon.octane.gg/teams/canberra-havoc.png
MINKZ,https://griffon.octane.gg/teams/minkz.png
Rix.GG,https://griffon.octane.gg/teams/Rix_gg_2021.png
Evil Geniuses,https://griffon.octane.gg/teams/Evil_Geniuses_2020.png
Sol,https://griffon.octane.gg/teams/Sol.png
Ghost Gaming,https://griffon.octane.gg/teams/ghost-gaming.png
Game Fist,https://griffon.octane.gg/teams/game-fist.png
Charlotte Phoenix,https://griffon.octane.gg/teams/charlotte-phoenix.png
Triple Trouble,https://griffon.octane.gg/teams/triple-trouble.png
mousesports,https://griffon.octane.gg/teams/mousesports.png
00 Nation,https://griffon.octane.gg/teams/00_Nation_fixed2.png
1620 Kings,https://griffon.octane.gg/teams/1620_Kings_2022.png
Monkeys,https://griffon.octane.gg/teams/monkeys.png
Lausanne eSports,https://griffon.octane.gg/teams/lausanne-esports.png
Genesis,https://griffon.octane.gg/teams/genesis.png
Legacy Esports,https://griffon.octane.gg/teams/legacy-esports.png
XSET,https://griffon.octane.gg/teams/xset.png
R!OT Gaming,https://griffon.octane.gg/teams/r!ot-gaming.png
Overt,https://griffon.octane.gg/teams/Overt_2020.png
Williams Resolve,https://griffon.octane.gg/teams/Williams_Resolve.png
Carnage Gaming,https://griffon.octane.gg/teams/carnage-gaming.png
Team AXLE,https://griffon.octane.gg/teams/Team_AXLE_2022.png
Alpine Esports,https://griffon.octane.gg/teams/alpine-esports.png
Zookeepers,https://griffon.octane.gg/teams/zookeepers.png
Stromboli,https://griffon.octane.gg/teams/stromboli.png
TeamOrangeGaming,https://griffon.octane.gg/teams/team-orange-gaming.png
RBG Esports,https://griffon.octane.gg/teams/rbg-esports.png
Omelette,https://griffon.octane.gg/teams/omelette.png
Soniqs,https://griffon.octane.gg/teams/susquehanna-soniqs.png
Nefarious,https://griffon.octane.gg/teams/Nefarious_2022.png
72 Pin Connector,https://griffon.octane.gg/teams/72-pin-connector.png
Gentlemen,https://griffon.octane.gg/teams/Gentlemen.png
Xayfhers,https://griffon.octane.gg/teams/Xayfhers_New.png
Team Process,https://griffon.octane.gg/teams/team-process.png
FURY,https://griffon.octane.gg/teams/fury.png
Plot Twist,https://griffon.octane.gg/teams/plot-twist.png
eUnited,https://griffon.octane.gg/teams/eunited.png
Free Win,https://griffon.octane.gg/teams/600px-Free_Win.png
Splyce,https://griffon.octane.gg/teams/splyce.png
Wolves Esports,https://griffon.octane.gg/teams/wolves-esports.png
Mako,https://griffon.octane.gg/teams/Mako.png
AllMid,https://griffon.octane.gg/teams/allmid.png
Atypical,https://griffon.octane.gg/teams/atypical.png
Hazard Esports,https://griffon.octane.gg/teams/hazard-esports.png
SK Gaming,https://griffon.octane.gg/teams/sk-gaming.png
mYinsanity,https://griffon.octane.gg/teams/myinsanity.png
exceL Esports,https://griffon.octane.gg/teams/excel-esports.png
